book,chapter,words
pride-and-prejudice,1,852
pride-and-prejudice,2,797
pride-and-prejudice,3,1700
pride-and-prejudice,4,1065
pride-and-prejudice,5,962
pride-and-prejudice,6,2353
pride-and-prejudice,7,1992
pride-and-prejudice,8,1936
pride-and-prejudice,9,1739
pride-and-prejudice,10,2213
pride-and-prejudice,11,1604
pride-and-prejudice,12,676
pride-and-prejudice,13,1690
pride-and-prejudice,14,1123
pride-and-prejudice,15,1705
pride-and-prejudice,16,3380
pride-and-prejudice,17,1279
pride-and-prejudice,18,5184
pride-and-prejudice,19,1921
pride-and-prejudice,20,1649
pride-and-prejudice,21,1995
pride-and-prejudice,22,1726
pride-and-prejudice,23,1618
pride-and-prejudice,24,1930
pride-and-prejudice,25,1513
pride-and-prejudice,26,2336
pride-and-prejudice,27,1267
pride-and-prejudice,28,1452
pride-and-prejudice,29,2394
pride-and-prejudice,30,1233
pride-and-prejudice,31,1545
pride-and-prejudice,32,1506
pride-and-prejudice,33,1859
pride-and-prejudice,34,2102
pride-and-prejudice,35,2998
pride-and-prejudice,36,2014
pride-and-prejudice,37,1376
pride-and-prejudice,38,1034
pride-and-prejudice,39,1636
pride-and-prejudice,40,1672
pride-and-prejudice,41,2275
pride-and-prejudice,42,1835
pride-and-prejudice,43,4875
pride-and-prejudice,44,2345
pride-and-prejudice,45,1734
pride-and-prejudice,46,3017
pride-and-prejudice,47,4099
pride-and-prejudice,48,2255
pride-and-prejudice,49,2247
pride-and-prejudice,50,2205
pride-and-prejudice,51,2079
pride-and-prejudice,52,3039
pride-and-prejudice,53,2950
pride-and-prejudice,54,1601
pride-and-prejudice,55,2340
pride-and-prejudice,56,2741
pride-and-prejudice,57,1658
pride-and-prejudice,58,2434
pride-and-prejudice,59,2488
pride-and-prejudice,60,1592
pride-and-prejudice,61,1252
frankenstein,1,1206
frankenstein,2,1316
frankenstein,3,299
frankenstein,4,2740
frankenstein,5,1785
frankenstein,6,2215
frankenstein,7,2690
frankenstein,8,2542
frankenstein,9,2364
frankenstein,10,2730
frankenstein,11,3574
frankenstein,12,3110
frankenstein,13,2227
frankenstein,14,2366
frankenstein,15,2911
frankenstein,16,2074
frankenstein,17,2042
frankenstein,18,1855
frankenstein,19,3019
frankenstein,20,3212
frankenstein,21,1924
frankenstein,22,2857
frankenstein,23,2619
frankenstein,24,3536
frankenstein,25,3747
frankenstein,26,3430
frankenstein,27,2598
frankenstein,28,8286
the-time-machine,1,1708
the-time-machine,2,1358
the-time-machine,3,2063
the-time-machine,4,2113
the-time-machine,5,1673
the-time-machine,6,2215
the-time-machine,7,2346
the-time-machine,8,4231
the-time-machine,9,2181
the-time-machine,10,2545
the-time-machine,11,2505
the-time-machine,12,2654
the-time-machine,13,1078
the-time-machine,14,1927
the-time-machine,15,490
the-time-machine,16,1426
the-time-machine,17,301
the-war-of-the-worlds,1,2231
the-war-of-the-worlds,2,1354
the-war-of-the-worlds,3,1025
the-war-of-the-worlds,4,1135
the-war-of-the-worlds,5,1492
the-war-of-the-worlds,6,842
the-war-of-the-worlds,7,1328
the-war-of-the-worlds,8,988
the-war-of-the-worlds,9,2159
the-war-of-the-worlds,10,2266
the-war-of-the-worlds,11,2040
the-war-of-the-worlds,12,3895
the-war-of-the-worlds,13,1791
the-war-of-the-worlds,14,3778
the-war-of-the-worlds,15,2831
the-war-of-the-worlds,16,4441
the-war-of-the-worlds,17,3310
the-war-of-the-worlds,18,2620
the-war-of-the-worlds,19,3328
the-war-of-the-worlds,20,1964
the-war-of-the-worlds,21,1621
the-war-of-the-worlds,22,969
the-war-of-the-worlds,23,1258
the-war-of-the-worlds,24,5759
the-war-of-the-worlds,25,3120
the-war-of-the-worlds,26,1853
the-war-of-the-worlds,27,1399
a-princess-of-mars,1,2613
a-princess-of-mars,2,1683
a-princess-of-mars,3,2609
a-princess-of-mars,4,2112
a-princess-of-mars,5,1538
a-princess-of-mars,6,1633
a-princess-of-mars,7,2010
a-princess-of-mars,8,2030
a-princess-of-mars,9,1429
a-princess-of-mars,10,3522
a-princess-of-mars,11,2394
a-princess-of-mars,12,1893
a-princess-of-mars,13,2322
a-princess-of-mars,14,3285
a-princess-of-mars,15,3170
a-princess-of-mars,16,3788
a-princess-of-mars,17,3027
a-princess-of-mars,18,1515
a-princess-of-mars,19,1757
a-princess-of-mars,20,3334
a-princess-of-mars,21,3517
a-princess-of-mars,22,3506
a-princess-of-mars,23,2257
a-princess-of-mars,24,2624
a-princess-of-mars,25,1820
a-princess-of-mars,26,2188
a-princess-of-mars,27,1891
a-princess-of-mars,28,684
the-lost-world,1,2117
the-lost-world,2,2349
the-lost-world,3,2435
the-lost-world,4,5499
the-lost-world,5,4482
the-lost-world,6,3515
the-lost-world,7,3507
the-lost-world,8,4491
the-lost-world,9,8292
the-lost-world,10,5030
the-lost-world,11,5645
the-lost-world,12,5749
the-lost-world,13,5528
the-lost-world,14,5453
the-lost-world,15,6044
the-lost-world,16,6384
