book,chapter,character,mentions
pride-and-prejudice,1,Elizabeth,3
pride-and-prejudice,1,Darcy,0
pride-and-prejudice,1,Jane,1
pride-and-prejudice,1,Mr Bingley,4
pride-and-prejudice,1,Miss Bingley,0
pride-and-prejudice,1,Wickham,0
pride-and-prejudice,1,Lydia,1
pride-and-prejudice,1,Mr Collins,0
pride-and-prejudice,1,Charlotte,0
pride-and-prejudice,1,Mrs Bennet,0
pride-and-prejudice,1,Mr Bennet,6
pride-and-prejudice,1,Lady Catherine,0
pride-and-prejudice,2,Elizabeth,3
pride-and-prejudice,2,Darcy,0
pride-and-prejudice,2,Jane,0
pride-and-prejudice,2,Mr Bingley,7
pride-and-prejudice,2,Miss Bingley,0
pride-and-prejudice,2,Wickham,0
pride-and-prejudice,2,Lydia,2
pride-and-prejudice,2,Mr Collins,0
pride-and-prejudice,2,Charlotte,0
pride-and-prejudice,2,Mrs Bennet,2
pride-and-prejudice,2,Mr Bennet,6
pride-and-prejudice,2,Lady Catherine,0
pride-and-prejudice,3,Elizabeth,6
pride-and-prejudice,3,Darcy,7
pride-and-prejudice,3,Jane,5
pride-and-prejudice,3,Mr Bingley,14
pride-and-prejudice,3,Miss Bingley,2
pride-and-prejudice,3,Wickham,0
pride-and-prejudice,3,Lydia,1
pride-and-prejudice,3,Mr Collins,0
pride-and-prejudice,3,Charlotte,0
pride-and-prejudice,3,Mrs Bennet,5
pride-and-prejudice,3,Mr Bennet,4
pride-and-prejudice,3,Lady Catherine,0
pride-and-prejudice,4,Elizabeth,4
pride-and-prejudice,4,Darcy,7
pride-and-prejudice,4,Jane,1
pride-and-prejudice,4,Mr Bingley,9
pride-and-prejudice,4,Miss Bingley,2
pride-and-prejudice,4,Wickham,0
pride-and-prejudice,4,Lydia,0
pride-and-prejudice,4,Mr Collins,0
pride-and-prejudice,4,Charlotte,0
pride-and-prejudice,4,Mrs Bennet,0
pride-and-prejudice,4,Mr Bennet,0
pride-and-prejudice,4,Lady Catherine,0
pride-and-prejudice,5,Elizabeth,7
pride-and-prejudice,5,Darcy,3
pride-and-prejudice,5,Jane,3
pride-and-prejudice,5,Mr Bingley,1
pride-and-prejudice,5,Miss Bingley,1
pride-and-prejudice,5,Wickham,0
pride-and-prejudice,5,Lydia,0
pride-and-prejudice,5,Mr Collins,0
pride-and-prejudice,5,Charlotte,2
pride-and-prejudice,5,Mrs Bennet,2
pride-and-prejudice,5,Mr Bennet,0
pride-and-prejudice,5,Lady Catherine,0
pride-and-prejudice,6,Elizabeth,16
pride-and-prejudice,6,Darcy,14
pride-and-prejudice,6,Jane,9
pride-and-prejudice,6,Mr Bingley,4
pride-and-prejudice,6,Miss Bingley,4
pride-and-prejudice,6,Wickham,0
pride-and-prejudice,6,Lydia,0
pride-and-prejudice,6,Mr Collins,0
