name,oldest_mya,youngest_mya,lat,lng,country_code
Chaoyangsaurus youngi,152.21,132.6,42.93,123.97,CN
Protarchaeopteryx robusta,125.77,119.57,41.8,120.73,CN
Caudipteryx zoui,125.77,119.57,41.8,120.73,CN
Gorgosaurus libratus,83.6,72.2,50.74,-111.53,CA
Gorgosaurus libratus,83.6,72.2,50.74,-111.55,CA
Centrosaurus apertus,83.6,72.2,50.74,-111.53,CA
Gorgosaurus libratus,83.6,72.2,50.72,-111.56,CA
Gorgosaurus libratus,83.6,72.2,50.74,-111.53,CA
Gorgosaurus libratus,83.6,72.2,50.79,-111.6,CA
Albertosaurus sarcophagus,72.2,66.0,51.8,-112.98,CA
Albertosaurus sarcophagus,72.2,66.0,51.82,-112.98,CA
Albertosaurus sarcophagus,72.2,66.0,51.54,-112.82,CA
Albertosaurus sarcophagus,72.2,66.0,51.47,-112.84,CA
Albertosaurus sarcophagus,72.2,66.0,51.44,-112.7,CA
Isisaurus colberti,72.2,66.0,21.18,80.37,IN
Daspletosaurus torosus,83.6,72.2,49.08,-110.68,CA
Daspletosaurus torosus,83.6,72.2,50.75,-111.49,CA
Albertosaurus sarcophagus,72.2,66.0,51.93,-112.93,CA
Tyrannosaurus rex,72.2,66.0,51.91,-113.03,CA
Tyrannosaurus rex,72.2,66.0,51.93,-113.23,CA
Gryposaurus notabilis,83.6,72.2,50.77,-111.53,CA
Amygdalodon patagonicus,192.9,182.9,-43.97,-69.52,AR
Camarasaurus grandis,154.8,143.1,39.07,-108.7,US
Camarasaurus supremus,154.8,149.2,39.11,-108.72,US
Ankylosaurus magniventris,72.2,66.0,47.64,-106.57,US
Saurornitholestes,72.2,66.0,45.55,22.92,RO
Bistahieversor sealeyi,83.6,72.2,36.06,-107.97,US
Pachycephalosaurus wyomingensis,72.2,66.0,47.7,-106.23,US
Sonorasaurus thompsoni,106.3,93.9,31.81,-110.42,US
Mononykus olecranus,72.2,66.0,43.54,99.6,MN
Tarbosaurus bataar,72.2,66.0,43.54,99.6,MN
Allosaurus fragilis,154.8,143.1,41.89,-106.04,US
Allosaurus fragilis,154.8,143.1,42.04,-106.39,US
Allosaurus fragilis,154.8,143.1,42.04,-106.39,US
Diplodocus,154.8,143.1,42.04,-106.39,US
Stegosaurus,154.8,143.1,42.04,-106.39,US
Camarasaurus grandis,154.8,143.1,42.04,-106.39,US
Allosaurus fragilis,154.8,143.1,42.04,-106.39,US
Hypsilophodon,125.77,119.57,50.65,-1.47,UK
Lewisuchus admixtus,241.464,237.0,-29.82,-67.82,AR
Scutellosaurus lawleri,199.5,184.2,35.68,-111.03,US
Scutellosaurus lawleri,199.5,184.2,35.74,-111.07,US
Orodromeus makelai,83.6,72.2,47.81,-112.18,US
Goyocephale lattimorei,85.7,66.0,48.58,102.07,MN
Efraasia minor,227.3,205.7,49.02,8.98,DE
Tethyshadros insularis,83.6,72.2,45.78,13.59,IT
Ichthyornis dispar,89.8,83.6,39.0,-101.0,US
Hesperornis,89.8,83.6,39.0,-101.0,US
Alexornis antecedens,85.7,83.6,30.05,-115.73,MX
Massospondylus carinatus,201.4,192.9,-28.51,28.62,ZA
Massospondylus,201.4,192.9,-28.51,28.62,ZA
Amargasaurus cazaui,125.77,121.4,-39.48,-70.19,AR
Telmatosaurus transsylvanicus,72.2,66.0,45.6,22.85,RO
Owenodon,143.1,137.05,46.95,22.4,RO
Owenodon,143.1,137.05,46.95,22.4,RO
Styracosaurus albertensis,83.6,72.2,50.74,-111.57,CA
Centrosaurus apertus,83.6,72.2,50.73,-111.8,CA
Apatosaurus louisae,154.8,143.1,39.65,-105.19,US
Diplodocus carnegii,154.8,143.1,42.15,-105.92,US
Patagopteryx deferrariisi,85.7,83.6,-38.95,-68.23,AR
Neuquenornis volans,85.7,83.6,-38.95,-68.23,AR
Dilophosaurus wetherilli,199.5,184.2,36.15,-110.32,US
Dilophosaurus wetherilli,199.5,184.2,36.1,-110.3,US
Graciliceratops mongoliensis,100.5,83.6,43.94,101.33,MN
Bagaceratops rozhdestvenskyi,83.6,72.2,43.25,99.75,MN
Gobipteryx minuta,83.6,72.2,43.49,101.12,MN
Eolambia caroljonesa,100.5,93.9,38.8,-111.17,US
Iguanodon bernissartensis,125.77,119.57,50.48,3.65,BE
Diplodocus longus,154.8,143.1,42.02,-106.05,US
Camarasaurus,154.8,143.1,42.02,-106.05,US
Stegosaurus stenops,154.8,143.1,42.02,-106.05,US
Brontosaurus excelsus,154.8,143.1,42.02,-106.05,US
Allosaurus fragilis,154.8,143.1,42.02,-106.05,US
Camarasaurus lentus,152.21,149.2,43.38,-108.12,US
Prosaurolophus maximus,83.6,72.2,48.63,-113.75,US
Maiasaura peeblesorum,83.6,72.2,48.63,-113.75,US
Orodromeus makelai,83.6,72.2,48.63,-113.75,US
Nodosaurus,83.6,72.2,50.73,-111.53,CA
Chasmosaurus,83.6,72.2,50.73,-111.51,CA
Tyrannosaurus rex,83.6,72.2,50.73,-111.52,CA
Centrosaurus apertus,83.6,72.2,50.73,-111.52,CA
Velociraptor,83.6,72.2,50.73,-111.52,CA
Chasmosaurus,83.6,72.2,50.75,-111.48,CA
Gorgosaurus libratus,83.6,72.2,50.75,-111.48,CA
Megapnosaurus rhodesiensis,201.4,192.9,-16.22,30.1,ZW
Kotasaurus yamanpalliensis,199.5,184.2,19.11,79.85,IN
Diplodocus,152.21,143.1,43.63,-108.2,US
Camarasaurus,152.21,143.1,43.63,-108.2,US
Stegosaurus,152.21,143.1,43.63,-108.2,US
Allosaurus,152.21,143.1,43.63,-108.2,US
Camptosaurus,152.21,143.1,43.63,-108.2,US
Barosaurus,152.21,143.1,43.63,-108.2,US
Plateosaurus trossingensis,227.3,205.7,47.5,8.02,CH
Liliensternus,227.3,205.7,47.5,8.02,CH
Plateosaurus trossingensis,227.3,205.7,48.07,8.65,DE
Liliensternus,227.3,205.7,48.07,8.65,DE
Liliensternus,205.7,201.4,51.9,11.07,DE
Velociraptor mongoliensis,83.6,72.2,44.25,103.33,MN
Protoceratops andrewsi,83.6,72.2,44.25,103.33,MN
Hypsilophodon foxii,125.77,121.4,50.7,-1.25,UK
Prosaurolophus maximus,83.6,72.2,48.63,-113.75,US
Hypacrosaurus stebingeri,83.6,72.2,48.63,-113.75,US
Gryposaurus,83.6,72.2,48.63,-113.75,US
Troodon formosus,83.6,72.2,48.63,-113.75,US
Daspletosaurus horneri,83.6,72.2,48.63,-113.75,US
Maiasaura peeblesorum,83.6,72.2,48.48,-112.7,US
Pachyrhinosaurus lakustai,83.6,72.2,55.06,-119.11,CA
Allosaurus,149.2,143.1,40.42,-109.21,US
Diplodocus,149.2,143.1,40.42,-109.21,US
Stegosaurus,149.2,143.1,40.42,-109.21,US
Dryosaurus,149.2,143.1,40.42,-109.21,US
Camptosaurus,149.2,143.1,40.42,-109.21,US
Convolosaurus marri,119.57,113.2,31.97,-98.48,US
Iguanodon bernissartensis,125.77,119.57,51.43,8.63,DE
Mantellisaurus atherfieldensis,125.77,119.57,51.43,8.63,DE
Iguanodon bernissartensis,125.77,119.57,51.43,8.63,DE
Styracosaurus albertensis,83.6,72.2,50.74,-111.49,CA
Centrosaurus apertus,83.6,72.2,50.75,-111.48,CA
Diplodocus longus,149.2,145.06,40.44,-109.3,US
Apatosaurus,149.2,145.06,40.44,-109.3,US
Camarasaurus,149.2,145.06,40.44,-109.3,US
Stegosaurus,149.2,145.06,40.44,-109.3,US
Hypacrosaurus stebingeri,83.6,72.2,48.63,-113.75,US
Prosaurolophus maximus,83.6,72.2,48.91,-112.64,US
Einiosaurus procurvicornis,83.6,72.2,48.97,-112.65,US
Einiosaurus procurvicornis,83.6,72.2,48.97,-112.65,US
Agujaceratops mariscalensis,83.6,72.2,29.14,-103.2,US
Potamornis skutchi,72.2,66.0,43.12,-104.64,US
Sauroposeidon proteles,121.4,100.5,34.16,-95.82,US
Dromaeosaurus albertensis,83.6,72.2,46.47,-109.3,US
Saurornitholestes langstoni,83.6,72.2,46.47,-109.3,US
Troodon formosus,83.6,72.2,46.47,-109.3,US
Richardoestesia gilmorei,83.6,72.2,46.47,-109.3,US
Dromaeosaurus albertensis,83.6,72.2,46.46,-109.41,US
Saurornitholestes langstoni,83.6,72.2,46.46,-109.41,US
Troodon formosus,83.6,72.2,46.46,-109.41,US
Richardoestesia gilmorei,83.6,72.2,46.46,-109.41,US
Avaceratops lammersi,83.6,72.2,46.46,-109.41,US
Latirhinus uitstlani,83.6,72.2,25.47,-101.7,MX
Edmontosaurus annectens,72.2,66.0,47.68,-106.43,US
Edmontosaurus annectens,72.2,66.0,45.14,-102.5,US
Dryptosaurus,83.6,72.2,40.3,-74.3,US
Hadrosaurus,83.6,72.2,40.3,-74.3,US
Triceratops prorsus,72.2,66.0,46.47,-104.02,US
Emausaurus ernsti,184.2,182.9,54.13,13.05,DE
Mamenchisaurus constructus,154.8,143.1,28.7,104.52,CN
Eoraptor lunensis,233.6,227.3,-31.1,-68.9,AR
Herrerasaurus ischigualastensis,233.6,227.3,-31.1,-68.9,AR
Herrerasaurus ischigualastensis,237.0,227.3,-30.13,-68.28,AR
Protohadros byrdi,100.5,93.9,33.01,-97.1,US
Vagaceratops irvinensis,83.6,72.2,49.95,-110.27,CA
Vagaceratops irvinensis,83.6,72.2,50.73,-111.3,CA
Iguanodon,125.77,119.57,50.62,-1.37,UK
Mantellisaurus atherfieldensis,125.77,119.57,50.62,-1.35,UK
Haestasaurus becklesii,139.1,132.6,50.85,0.6,UK
Wannanosaurus yansiensis,72.2,66.0,29.82,118.34,CN
Menefeeceratops sealeyi,83.6,72.2,35.7,-107.2,US
Saurornitholestes,83.6,72.2,35.7,-107.2,US
Agujaceratops mavericus,83.6,72.2,29.2,-103.55,US
Vorona berivotrensis,72.2,66.0,-15.9,46.58,MG
Tenontosaurus tilletti,110.1,93.9,45.44,-108.14,US
Tenontosaurus tilletti,121.4,110.1,45.44,-108.16,US
Sinosaurus triassicus,201.4,192.9,24.67,102.59,CN
Yunnanosaurus,201.4,192.9,24.67,102.59,CN
Tameryraptor markgrafi,100.5,93.9,28.33,29.12,EG
Spinosaurus aegyptiacus,100.5,93.9,28.43,28.91,EG
Carcharodontosaurus saharicus,143.1,100.5,28.5,9.57,DZ
