genus,named_by,first_mya,last_mya,first_stage,last_stage,finds
Yaverlandia,Galton 1971,132.6,121.4,Hauterivian,Barremian,1
Fenestrosaurus,Osborn 1924,83.6,72.2,Campanian,,1
Nqwebasaurus,de Klerk et al. 2000,143.1,132.6,Berriasian,Valanginian,1
Kinnareemimus,Buffetaut et al. 2009,125.77,121.4,Barremian,,1
Pelecanimimus,Pérez-Moreno et al. 1994,125.77,121.4,Barremian,,1
Arkansaurus,Hunt and Quinn 2018,113.2,100.5,Albian,,1
Aviatyrannis,Rauhut 2003,154.8,149.2,Kimmeridgian,,2
Garudimimus,Barsbold 1981,93.9,83.6,Turonian,Santonian,1
Paraxenisaurus,Serrano-Brañas et al. 2020,83.6,72.2,Campanian,,1
Harpymimus,Barsbold and Perle 1984,110.1,100.5,Albian,,1
Deinocheirus,Kielan-Jaworowska 1969,100.5,66.0,Cenomanian,Maastrichtian,5
Tyrannomimus,Hattori et al. 2023,121.4,113.2,Aptian,,1
Shenzhousaurus,Ji et al. 2003,125.77,119.57,Barremian,Aptian,1
Lepidocheirosaurus,Alifanov and Saveliev 2015,168.2,165.3,Bathonian,,1
Hexing,Jin et al. 2012,125.77,119.57,Barremian,Aptian,1
Afromimus,Sereno 2017,113.2,100.5,Albian,,1
Tototlmimus,Serrano-Brañas et al. 2016,83.6,72.2,Campanian,,1
Mexidracon,Serrano-Brañas et al. 2025,83.6,72.2,Campanian,,1
Gallimimus,Osmólska et al. 1972,93.9,66.0,Turonian,Maastrichtian,30
Struthiomimus,Osborn 1916,83.6,66.0,Campanian,Maastrichtian,18
Sinornithomimus,Kobayashi and Lü 2003,93.9,89.8,Turonian,,1
Qiupalong,Xu et al. 2011,72.2,66.0,Maastrichtian,,1
Ornithomimus,Marsh 1890,83.6,66.0,Campanian,Maastrichtian,35
Anserimimus,Barsbold 1988,72.2,66.0,Maastrichtian,,2
Aepyornithomimus,Chinzorig et al. 2017,83.6,72.2,Campanian,,1
Dromiceiomimus,Russell 1972,72.2,66.0,Maastrichtian,,5
Rativates,McFeeters et al. 2016,83.6,72.2,Campanian,,1
Archaeornithomimus,Russell 1972,89.8,72.2,Coniacian,Campanian,3
Dzharacursor,Averianov and Sues 2024,93.9,89.8,Turonian,,1
Beishanlong,Makovicky et al. 2010,121.4,113.2,Aptian,,1
Erythrovenator,Müller 2020,237.0,227.3,Carnian,,1
Shuangbaisaurus,Wang et al. 2017,201.4,199.5,Hettangian,,1
Sinosaurus,Young 1940,201.4,192.9,Hettangian,Sinemurian,16
Himeoolithus,Tanaka et al. 2020,113.2,110.1,Albian,,1
Anteavis,Martínez et al. 2025,237.0,227.3,Carnian,,1
Protoavis,Chatterjee 1991,227.3,205.7,Norian,,1
Velocipes,Huene 1932,227.3,205.7,Norian,,1
Dracoraptor,Martill et al. 2016,201.4,199.5,Hettangian,,1
Lophostropheus,Ezcurra and Cuny 2007,205.7,199.5,Rhaetian,Hettangian,1
Pendraig,Spiekman et al. 2021,237.0,227.3,Carnian,,1
Gojirasaurus,Carpenter 1997,227.3,205.7,Norian,,1
Syntarsus,Raath 1969,205.7,184.2,Rhaetian,Pliensbachian,11
Lucianovenator,Martinez and Apaldetti 2017,227.3,205.7,Norian,,1
Panguraptor,You et al. 2014,201.4,199.5,Hettangian,,1
Camposaurus,Hunt et al. 1998,227.3,205.7,Norian,,1
Coelophysis,Cope 1889,227.3,192.9,Norian,Sinemurian,26
Podokesaurus,Talbot 1911,227.3,192.9,Norian,Sinemurian,26
Rioarribasaurus,Hunt and Lucas 1991,227.3,192.9,Norian,Sinemurian,26
Segisaurus,Camp 1936,192.9,174.7,Pliensbachian,Toarcian,2
Lepidus,Nesbitt and Ezcurra 2015,227.3,205.7,Norian,,1
Megapnosaurus,Ivie et al. 2001,201.4,192.9,Hettangian,Sinemurian,8
Procompsognathus,Fraas 1913,215.38,211.18,Norian,,1
Powellvenator,Ezcurra 2017,227.3,205.7,Norian,,1
Sarcosaurus,Andrews 1921,201.4,192.9,Hettangian,Sinemurian,4
Notatesseraeraptor,Zahner and Brinkmann 2019,227.3,205.7,Norian,,1
Dilophosaurus,Welles 1970,201.4,184.2,Hettangian,Pliensbachian,14
Spinostropheus,Sereno et al. 2004,161.5,93.9,Oxfordian,Cenomanian,3
Vitakrisaurus,Malkani 2010,72.2,66.0,Maastrichtian,,3
Vitakridrinda,Malkani 2004,72.2,66.0,Maastrichtian,,8
Fosterovenator,Dalman 2014,154.8,143.1,Kimmeridgian,Tithonian,1
Berberosaurus,Allain et al. 2007,192.9,174.7,Pliensbachian,Toarcian,1
Chenanisaurus,Longrich et al. 2017,72.2,66.0,Maastrichtian,,2
Vespersaurus,Langer et al. 2019,121.4,72.2,Aptian,Campanian,1
Noasaurus,Bonaparte and Powell 1980,72.2,66.0,Maastrichtian,,1
Masiakasaurus,Sampson et al. 2001,72.2,66.0,Maastrichtian,,29
Velocisaurus,Bonaparte 1991,85.7,83.6,Santonian,,2
Deltadromeus,Sereno et al. 1996,100.5,93.9,Cenomanian,,6
Berthasaura,de Souza et al. 2021,121.4,72.2,Aptian,Campanian,1
Huinculsaurus,Baiano et al. 2020,110.1,106.3,Albian,,1
Austrocheirus,Ezcurra et al. 2010,83.6,72.2,Campanian,,1
Ligabueino,Bonaparte 1996,125.77,119.57,Barremian,Aptian,1
Kiyacursor,Averianov et al. 2024,121.4,113.2,Aptian,,2
Limusaurus,Xu et al. 2009,161.5,154.8,Oxfordian,,3
Elaphrosaurus,Janensch 1920,154.8,93.9,Kimmeridgian,Cenomanian,4
Laevisuchus,Huene 1933,72.2,66.0,Maastrichtian,,2
Jubbulpuria,Huene 1933,72.2,66.0,Maastrichtian,,2
Saltriovenator,Dal Sasso et al. 2018,199.5,192.9,Sinemurian,,1
Genyodectes,Woodward 1901,113.2,100.5,Albian,,1
Ceratosaurus,Marsh 1884,157.9,143.1,,,29
Rugops,Sereno et al. 2004,100.5,93.9,Cenomanian,,1
Ekrixinatosaurus,Calvo et al. 2004,113.2,110.1,Albian,,1
Guemesia,Agnolín et al. 2021,83.6,66.0,Campanian,Maastrichtian,1
Thanos,Delcourt and Iori 2020,85.7,72.2,Santonian,Campanian,1
Skorpiovenator,Canale et al. 2008,110.1,106.3,Albian,,2
Aucasaurus,Coria et al. 2002,83.6,72.2,Campanian,,2
Ilokelesia,Coria and Salgado 2000,110.1,106.3,Albian,,1
Dahalokely,Farke and Sertich 2013,93.9,89.8,Turonian,,1
Rahiolisaurus,Novas et al. 2010,72.2,66.0,Maastrichtian,,1
