year,month,day,temp_c,max_c,min_c,sunlight_kwh_m2
2023,1,1,5.52,6.89,2.75,0.4591
2023,1,2,3.53,5.77,2.27,0.821
2023,1,3,9.86,12.01,6.11,0.2722
2023,1,4,9.85,11.77,8.16,0.5155
2023,1,5,9.09,11.15,6.84,0.2609
2023,1,6,7.9,10.4,5.48,0.5741
2023,1,7,7.98,9.55,6.55,0.8371
2023,1,8,6.22,6.98,5.37,0.5626
2023,1,9,5.77,6.96,4.88,0.739
2023,1,10,8.67,11.99,5.26,0.2962
2023,1,11,7.27,10.24,6.34,0.6787
2023,1,12,8.57,10.61,6.9,0.7058
2023,1,13,7.4,9.15,6.65,0.9067
2023,1,14,5.88,9.59,3.53,0.8028
2023,1,15,4.17,4.96,3.32,0.6065
2023,1,16,1.59,3.49,0.41,0.971
2023,1,17,1.2,2.67,-0.14,1.0558
2023,1,18,2.5,4.02,1.66,0.8561
2023,1,19,2.21,4.19,1.29,1.2588
2023,1,20,3.03,5.17,1.32,1.2091
2023,1,21,6.67,7.73,5.16,0.5662
2023,1,22,8.42,9.19,7.73,0.5318
2023,1,23,8.75,9.79,7.55,0.4987
2023,1,24,7.98,8.6,7.3,0.8016
2023,1,25,7.15,8.95,4.62,1.0603
2023,1,26,5.58,7.66,4.43,0.8393
2023,1,27,4.53,6.46,3.01,0.9386
2023,1,28,5.27,5.84,4.23,0.7411
2023,1,29,6.54,9.48,4.49,0.9202
2023,1,30,6.33,7.97,4.81,0.9542
2023,1,31,6.78,8.6,5.17,1.3423
2023,2,1,6.99,9.38,5.22,0.7505
2023,2,2,8.88,9.63,8.06,0.7841
2023,2,3,8.82,10.75,7.23,1.1278
2023,2,4,7.07,9.94,2.87,0.7236
2023,2,5,3.98,6.29,2.37,1.8607
2023,2,6,5.96,8.6,3.08,1.0934
2023,2,7,6.93,9.2,5.58,1.0716
2023,2,8,6.88,9.05,4.63,1.1148
2023,2,9,4.52,7.58,2.18,1.6738
2023,2,10,7.22,9.63,3.87,0.9319
2023,2,11,7.57,9.32,6.44,0.7963
2023,2,12,7.49,9.12,6.2,0.9355
2023,2,13,7.64,9.04,6.09,1.3123
2023,2,14,8.89,11.48,6.98,1.1894
2023,2,15,8.04,9.47,7.24,1.4878
2023,2,16,9.55,11.51,7.42,1.1102
2023,2,17,10.51,11.15,9.81,1.134
2023,2,18,9.61,10.64,7.6,1.3013
2023,2,19,8.36,10.31,6.24,1.3786
2023,2,20,9.99,11.74,8.62,1.4998
2023,2,21,8.68,10.24,7.53,1.4556
2023,2,22,5.76,7.7,4.27,1.9519
2023,2,23,5.64,7.93,3.33,1.8247
2023,2,24,7.33,9.93,5.66,1.4309
2023,2,25,5.45,6.81,4.11,1.7986
2023,2,26,5.22,7.61,3.38,1.8372
2023,2,27,5.06,7.44,3.25,1.361
2023,2,28,5.37,7.31,3.46,1.182
2023,3,1,6.14,7.28,5.22,1.7839
2023,3,2,6.05,7.65,4.58,1.6942
2023,3,3,5.65,7.47,4.5,1.2082
2023,3,4,4.83,6.56,3.43,1.1052
2023,3,5,5.05,8.18,2.68,2.0016
2023,3,6,4.86,6.46,2.69,1.4556
2023,3,7,2.5,4.82,0.63,3.1795
2023,3,8,3.1,4.87,1.82,2.3911
2023,3,9,2.79,4.06,1.62,1.002
2023,3,10,2.98,5.05,1.56,2.7982
2023,3,11,4.95,8.12,2.35,1.0858
2023,3,12,8.82,11.01,6.32,1.6942
2023,3,13,8.64,11.51,4.35,2.0366
2023,3,14,3.95,6.36,1.63,2.6018
2023,3,15,5.61,9.29,1.29,1.338
2023,3,16,10.28,12.56,8.62,2.237
2023,3,17,9.53,10.88,8.64,1.704
2023,3,18,8.25,10.09,4.33,2.2495
2023,3,19,5.95,8.91,3.26,2.0088
2023,3,20,10.39,12.65,9.08,2.0508
2023,3,21,9.64,10.63,8.29,1.883
2023,3,22,8.56,10.63,5.75,2.7598
2023,3,23,8.5,11.25,6.15,2.8128
2023,3,24,8.1,10.44,6.5,2.6232
2023,3,25,8.38,10.93,6.61,3.3382
2023,3,26,7.04,8.3,4.08,2.6088
2023,3,27,5.78,9.07,1.6,3.4834
2023,3,28,9.57,12.53,6.83,2.4487
2023,3,29,10.45,13.07,8.87,2.2987
2023,3,30,10.24,13.18,8.5,3.2693
2023,3,31,9.22,10.15,8.34,1.9454
2023,4,1,8.45,9.64,6.77,2.8858
2023,4,2,7.87,10.9,5.9,3.6271
2023,4,3,7.94,9.75,5.91,2.4432
2023,4,4,8.75,11.43,6.49,3.5273
2023,4,5,10.39,12.56,8.31,2.0345
2023,4,6,8.23,10.84,6.38,4.5936
2023,4,7,8.34,11.41,5.57,4.6807
2023,4,8,9.15,11.39,7.3,3.635
2023,4,9,9.67,12.16,7.69,1.8845
2023,4,10,8.22,9.58,5.63,3.5347
2023,4,11,6.96,9.78,4.34,1.8262
2023,4,12,5.59,7.57,3.67,2.815
2023,4,13,7.16,10.26,4.09,5.2224
2023,4,14,7.74,10.66,4.92,5.237
2023,4,15,7.88,10.7,4.75,3.8376
2023,4,16,11.6,15.31,8.43,3.4092
2023,4,17,11.19,14.75,8.01,3.7464
2023,4,18,9.95,10.97,8.44,5.4617
2023,4,19,9.35,11.53,7.0,3.8599
2023,4,20,8.83,11.06,6.65,6.7008
2023,4,21,9.47,12.16,7.04,4.9445
2023,4,22,8.48,10.15,7.24,1.8058
2023,4,23,8.71,11.31,6.17,3.947
2023,4,24,7.15,8.73,4.94,3.7092
2023,4,25,7.0,9.94,3.51,4.7458
2023,4,26,8.8,11.58,5.96,4.2461
2023,4,27,9.28,10.7,7.91,2.2104
2023,4,28,11.64,15.01,8.13,3.5225
2023,4,29,12.26,14.83,9.44,4.1412
2023,4,30,12.26,15.1,9.8,4.5473
2023,5,1,11.97,15.18,9.48,4.3418
2023,5,2,11.45,13.88,8.89,4.6298
2023,5,3,11.35,13.33,10.04,4.3716
2023,5,4,10.62,12.22,8.91,4.2077
2023,5,5,12.42,14.95,10.11,4.3507
2023,5,6,12.18,14.91,9.32,4.4455
2023,5,7,12.83,15.96,9.66,4.2708
2023,5,8,13.93,16.77,11.78,4.0375
2023,5,9,11.71,14.33,9.13,4.9188
2023,5,10,11.64,13.78,9.67,4.0634
2023,5,11,10.91,13.31,8.76,4.2581
2023,5,12,12.21,14.83,9.15,6.6266
2023,5,13,12.8,15.66,9.2,5.8615
2023,5,14,11.5,13.54,7.85,4.2432
2023,5,15,10.46,13.52,6.88,5.8819
2023,5,16,11.35,14.85,6.84,5.9198
2023,5,17,12.73,16.02,9.56,5.7365
2023,5,18,12.31,14.81,9.08,4.1184
2023,5,19,12.23,14.87,8.93,4.5216
2023,5,20,13.0,15.61,10.97,3.3751
