name,discovered,method,orbit_days,radius_earths,distance_ly
HD 2039 b,2002,Radial Velocity,1120.0,12.7,279.5
HAT-P-8 b,2008,Transit,3.0763,15.69,690.0
K2-43 b,2016,Transit,3.4711,4.51,595.4
Kepler-1753 b,2021,Transit,16.005,2.23,2308.2
Kepler-1176 b,2016,Transit,24.174,2.45,2820.3
K2-126 b,2017,Transit,7.3857,1.97,335.8
Kepler-1263 b,2016,Transit,4.5514,1.14,2168.4
Kepler-1416 b,2016,Transit,1.4951,0.88,3097.1
Kepler-1542 c,2016,Transit,2.8922,0.65,1301.7
K2-85 b,2016,Transit,0.68454,1.4,317.1
Kepler-368 c,2014,Transit,72.379,3.88,2514.6
K2-123 b,2017,Transit,30.952,2.76,526.9
Kepler-770 b,2016,Transit,18.925,2.3,3034.7
Kepler-1399 b,2016,Transit,1.6387,1.25,4519.5
Kepler-723 b,2016,Transit,4.0823,12.19,3495.7
K2-107 b,2017,Transit,3.314,15.98,2234.8
K2-45 b,2016,Transit,1.7293,6.71,1615.5
K2-365 b,2022,Transit,23.448,2.91,610.6
K2-127 b,2017,Transit,3.5882,8.37,2315.7
K2-195 b,2018,Transit,15.853,3.13,1027.4
K2-80 c,2016,Transit,5.605,1.47,654.9
K2-229 c,2018,Transit,8.3273,2.03,334.5
HAT-P-3 b,2007,Transit,2.8997,10.54,438.9
WASP-32 b,2010,Transit,2.7187,10.76,900.2
WASP-24 b,2010,Transit,2.3412,15.47,1050.6
Kepler-65 c,2012,Transit,5.8599,2.58,990.6
TrES-2 b,2006,Transit,2.4706,15.24,702.3
Kepler-939 b,2016,Transit,14.878,1.75,6828.5
Kepler-1028 b,2016,Transit,2.5146,1.33,1982.8
HAT-P-67 b,2017,Transit,4.8101,23.99,1212.3
Kepler-1101 b,2016,Transit,81.315,2.47,2421.6
Kepler-1388 b,2016,Transit,12.285,2.59,1480.1
Kepler-768 b,2016,Transit,11.391,1.79,2558.9
Kepler-796 b,2016,Transit,6.4009,1.3,2666.6
Kepler-110 b,2014,Transit,12.691,1.83,1913.0
Kepler-1042 b,2016,Transit,10.132,2.19,2149.4
Kepler-334 c,2014,Transit,12.758,1.43,1391.3
Kepler-937 b,2016,Transit,67.669,3.72,5125.4
Kepler-1117 b,2016,Transit,4.7903,1.11,1854.2
Kepler-1789 b,2021,Transit,80.232,2.83,1994.3
Kepler-1831 b,2021,Transit,5.7839,1.97,3436.0
Kepler-1245 b,2016,Transit,4.3541,1.44,2628.6
Kepler-114 b,2014,Transit,5.1885,1.26,846.5
Kepler-1105 b,2016,Transit,4.4216,2.01,1037.2
Kepler-187 b,2014,Transit,4.9389,1.41,3728.0
Kepler-1379 b,2016,Transit,0.88184,1.3,3168.0
Kepler-304 c,2014,Transit,5.3159,2.17,1417.7
Kepler-1291 b,2016,Transit,8.6304,1.66,2926.8
Kepler-304 e,2016,Transit,1.4991,1.2,1417.7
Kepler-461 b,2016,Transit,8.3138,2.58,2257.5
Kepler-1894 b,2021,Transit,2.7627,1.2,3050.2
Kepler-576 b,2016,Transit,29.911,3.27,2014.2
Kepler-1893 b,2021,Transit,4.1794,1.71,3427.0
Kepler-1601 b,2016,Transit,2.2092,0.82,2101.9
Kepler-1922 b,2021,Transit,13.223,2.29,4384.5
HD 80653 b,2020,Transit,0.71958,1.62,358.3
Kepler-1542 d,2016,Transit,5.9927,0.87,1301.7
Kepler-666 b,2016,Transit,4.4988,2.4,4920.7
Kepler-211 c,2014,Transit,6.0404,1.29,1009.0
Kepler-203 c,2014,Transit,5.3706,2.47,2293.9
GJ 674 b,2007,Radial Velocity,4.6938,3.33,14.8
OGLE-TR-182 b,2007,Transit,3.9791,12.67,8159.6
HD 69830 c,2006,Radial Velocity,31.56,3.46,41.0
GJ 3021 b,2000,Radial Velocity,133.71,13.1,57.3
HD 221287 b,2007,Radial Velocity,456.1,13.1,182.4
HD 47536 b,2002,Radial Velocity,712.13,12.6,399.7
HD 107148 b,2005,Radial Velocity,48.056,9.6,161.2
HD 179949 b,2000,Radial Velocity,3.0925,13.9,89.6
HD 188015 b,2004,Radial Velocity,461.2,13.6,165.3
HD 27442 b,2000,Radial Velocity,428.1,13.5,59.6
HD 46375 b,2000,Radial Velocity,3.0236,10.0,96.4
HAT-P-2 b,2007,Transit,5.6335,10.66,416.7
HD 109749 b,2005,Radial Velocity,5.2399,11.1,205.7
HD 149143 b,2005,Radial Velocity,4.0718,13.6,239.0
HD 224693 b,2006,Radial Velocity,26.69,14.0,305.0
HD 231701 b,2007,Radial Velocity,141.63,13.7,355.1
HIP 14810 b,2005,Radial Velocity,6.6739,13.0,164.6
HIP 14810 d,2009,Radial Velocity,981.8,14.1,164.6
HD 207832 b,2012,Radial Velocity,160.07,14.2,192.2
HD 37605 c,2012,Radial Velocity,2720.0,13.1,152.6
HD 1605 c,2015,Radial Velocity,2149.0,13.0,289.6
HD 55696 b,2018,Radial Velocity,1827.0,12.9,254.3
HD 148164 c,2018,Radial Velocity,5062.0,12.8,251.8
HD 211810 b,2018,Radial Velocity,1558.0,14.0,210.8
HD 221416 b,2019,Transit,14.277,9.17,311.6
Kepler-595 c,2020,Transit,12.386,1.01,2097.2
Kepler-595 b,2016,Transit,25.303,3.71,2097.2
PSR B1257+12 b,1994,Pulsar Timing,25.262,0.34,1956.9
PSR B1257+12 c,1992,Pulsar Timing,66.542,1.91,1956.9
OGLE-TR-211 b,2007,Transit,3.6772,15.24,4942.1
Lupus-TR-3 b,2007,Transit,3.9141,9.98,2522.5
2MASS J04414489+2301513 b,2010,Imaging,,12.6,392.8
WASP-21 b,2010,Transit,4.3225,11.99,842.9
CoRoT-10 b,2010,Transit,13.241,10.87,1103.7
CoRoT-12 b,2010,Transit,2.828,16.14,3673.7
CoRoT-13 b,2010,Transit,4.0352,9.92,3747.3
HD 285968 b,2008,Radial Velocity,8.7836,2.83,30.9
HD 205739 b,2008,Radial Velocity,279.8,13.6,301.7
CoRoT-3 b,2008,Transit,4.2568,11.32,2507.4
HD 16417 b,2008,Radial Velocity,17.24,5.0,82.8
AB Pic b,2005,Imaging,,12.3,163.2
CT Cha b,2007,Imaging,,24.66,622.0
HD 9446 b,2009,Radial Velocity,30.052,14.0,164.2
Kepler-4 b,2009,Transit,3.2135,4.0,1591.4
GJ 876 c,2000,Radial Velocity,30.088,14.0,15.2
HIP 79431 b,2009,Radial Velocity,111.7,13.4,47.4
TOI-907.01,2024,Transit,4.5849,9.62,1019.3
WASP-31 b,2010,Transit,3.4059,17.36,1251.9
24 Sex b,2010,Radial Velocity,452.8,13.4,235.1
WASP-37 b,2010,Transit,3.5775,13.0,1281.1
Kepler-9 d,2010,Transit,1.5929,1.64,2049.1
KOI-217 b,2010,Transit,3.9051,12.44,2983.3
HD 90156 b,2011,Radial Velocity,49.77,4.43,71.6
HD 177830 c,2010,Radial Velocity,110.9,7.87,204.7
ups And b,1996,Radial Velocity,4.617,14.0,43.7
ups And d,1999,Radial Velocity,1276.5,12.5,43.7
OGLE-2017-BLG-0373L b,2018,Microlensing,,14.0,19292.1
Kepler-1737 b,2021,Transit,64.618,5.4,
K2-269 b,2018,Transit,4.145,1.57,1176.6
TOI-1249 b,2024,Transit,13.079,3.27,455.0
Kepler-106 d,2014,Transit,23.98,0.95,1449.2
Kepler-1031 b,2016,Transit,1.2262,0.87,2227.3
CD-35 2722 B b,2026,Radial Velocity,171.11,13.9,
Kepler-948 b,2016,Transit,7.7685,1.85,2831.1
OGLE-2014-BLG-0319L b,2022,Microlensing,,14.1,25211.9
OGLE-2018-BLG-1011L b,2019,Microlensing,,13.5,23157.1
WASP-61 b,2012,Transit,3.8559,15.8,1593.8
KMT-2022-BLG-0303L b,2024,Microlensing,,14.2,21428.4
OGLE-2019-BLG-0954L b,2021,Microlensing,,12.3,11839.5
WASP-123 b,2016,Transit,2.9776,15.13,645.8
Kepler-1882 b,2021,Transit,13.787,1.49,1446.1
KOI-984 b,2022,Transit,4.2882,4.3,824.1
Kepler-1573 b,2016,Transit,2.6158,1.2,4746.7
Kepler-802 b,2016,Transit,40.059,3.54,2545.9
KMT-2023-BLG-1454L b,2024,Microlensing,,14.1,23548.5
Kepler-1440 b,2016,Transit,39.859,1.26,3637.8
WASP-130 b,2016,Transit,11.551,9.98,561.8
OGLE-2017-BLG-1049L b,2020,Microlensing,,12.8,18493.0
Kepler-949 b,2016,Transit,8.6893,2.91,1585.5
Kepler-1964 b,2021,Transit,2.4408,1.78,
KMT-2023-BLG-1592L b,2026,Microlensing,,14.1,23483.2
OGLE-2019-BLG-0362L b,2022,Microlensing,,13.1,19014.9
KMT-2017-BLG-1057L b,2024,Microlensing,,5.19,21200.1
KMT-2025-BLG-1616L b,2026,Microlensing,,7.34,24461.7
Wolf 327 b,2024,Transit,0.57347,1.24,93.1
Kepler-62 f,2013,Transit,267.29,1.41,981.3
WASP-53 c,2017,Radial Velocity,2840.0,,656.7
KMT-2023-BLG-1743L b,2024,Microlensing,,12.1,23254.9
TOI-5789 c,2026,Transit,12.928,2.86,66.7
MOA-2019-BLG-008L b,2022,Microlensing,,12.2,8806.2
OGLE-2016-BLG-1598L b,2024,Microlensing,,13.6,19275.8
OGLE-2017-BLG-1275L b,2024,Microlensing,,12.8,25081.4
HATS-44 b,2018,Transit,2.7439,11.96,1454.8
HD 160691 b,2000,Radial Velocity,645.0,,50.9
Kepler-132 b,2014,Transit,6.1782,1.21,1140.1
KMT-2021-BLG-0192L b,2022,Microlensing,,6.56,16699.2
Kepler-49 b,2012,Transit,7.2,2.58,1015.1
KMT-2016-BLG-2364L b,2020,Microlensing,,13.0,21004.4
Kepler-218 c,2014,Transit,44.7,3.14,2140.8
GJ 328 c,2023,Radial Velocity,241.8,4.91,66.9
K2-212 b,2018,Transit,9.7956,2.65,356.2
KMT-2022-BLG-1818L c,2026,Microlensing,,13.2,17286.3
Qatar-8 b,2019,Transit,3.7149,14.4,918.1
KMT-2018-BLG-0885L b,2023,Microlensing,,11.9,22472.1
KMT-2016-BLG-2321L b,2024,Microlensing,,13.8,11676.4
Kepler-74 b,2013,Transit,7.3407,10.76,3840.6
OGLE-2017-BLG-0482L b,2018,Microlensing,,2.95,18917.0
PSR B0329+54 b,2017,Pulsar Timing,10140.0,1.22,1646.9
K2-140 b,2017,Transit,6.5692,13.56,1134.8
HD 184010 c,2022,Radial Velocity,484.3,11.8,198.3
EPIC 201595106 b,2021,Transit,0.87724,1.56,757.0
TOI-1203 e,2025,Radial Velocity,204.59,7.31,212.0
Kepler-1503 b,2016,Transit,96.17,2.27,3997.3
Kepler-1781 b,2021,Transit,4.8875,2.38,3139.7
Kepler-57 c,2012,Transit,11.6,2.2,2100.9
Kepler-1124 b,2016,Transit,2.8523,1.28,945.5
Kepler-1581 b,2016,Transit,6.2839,0.8,1608.5
K2-136 c,2017,Transit,17.307,3.0,193.2
HD 39091 b,2001,Radial Velocity,2088.8,12.3,59.6
LHS 1815 b,2020,Transit,3.8143,1.09,97.3
Kepler-464 b,2016,Transit,7.257,3.3,2177.4
Kepler-1580 b,2016,Transit,56.645,2.11,3268.1
Kepler-198 d,2016,Transit,1.3118,1.53,1615.6
HD 50554 b,2002,Radial Velocity,1240.0,12.8,101.7
HD 73267 c,2022,Radial Velocity,17072.0,12.8,164.4
Kepler-580 b,2016,Transit,8.2224,2.57,1056.4
KOI-12 b,2015,Transit,17.855,13.79,1302.7
Kepler-637 b,2016,Transit,23.206,4.75,2563.9
HD 29985 b,2022,Radial Velocity,20608.0,12.8,102.0
HD 165155 b,2016,Radial Velocity,434.5,13.2,206.6
HD 22946 d,2023,Transit,47.425,2.61,204.8
Kepler-1697 b,2020,Transit,33.497,1.26,808.1
Kepler-674 b,2016,Transit,2.2434,1.69,1116.3
Kepler-873 b,2016,Transit,20.553,3.75,3855.9
Kepler-783 b,2016,Transit,4.2926,0.78,1683.3
HD 31527 c,2019,Radial Velocity,51.205,3.85,125.4
Kepler-1955 b,2021,Transit,14.265,1.17,1465.6
Kepler-1684 b,2020,Transit,47.706,2.87,2028.7
Kepler-322 c,2014,Transit,4.3372,1.67,1306.2
Qatar-5 b,2017,Transit,2.8792,12.41,1199.1
Kepler-399 c,2014,Transit,26.676,1.43,2415.3
DMPP-2 c,2026,Radial Velocity,3.168,8.26,449.9
TOI-1062 b,2021,Transit,4.113,2.26,268.0
TOI-1759 b,2022,Transit,18.85,3.14,130.7
TOI-2285 b,2021,Transit,13.635,1.77,138.3
Kepler-546 b,2016,Transit,4.147,7.0,3325.6
Kepler-682 b,2016,Transit,12.612,7.37,6455.4
TOI-220 b,2021,Transit,10.695,3.03,296.0
TOI-5624 f,2026,Transit Timing Variations,45.37,3.66,332.4
Kepler-242 b,2014,Transit,8.204,2.61,1957.7
Kepler-258 b,2014,Transit,13.197,4.06,1878.6
TOI-4898 b,2026,Transit,2.7652,3.72,321.6
Kepler-1292 b,2016,Transit,3.2765,1.82,4870.9
HD 128717 b,2025,Astrometry,3420.0,12.1,240.2
TOI-3278 b,2026,Transit,3.2465,13.9,2950.9
Kepler-103 b,2014,Transit,15.965,3.49,1613.9
TOI-4492 b,2026,Transit,4.4332,11.78,467.0
pi Men d,2022,Radial Velocity,124.64,3.72,59.6
Kepler-1058 b,2016,Transit,110.97,2.72,1604.7
Kepler-160 b,2014,Transit,4.3094,1.72,3056.1
Kepler-1365 b,2016,Transit,7.6999,0.92,2740.1
Kepler-346 c,2014,Transit,23.852,3.07,3209.7
Kepler-1489 b,2016,Transit,82.295,1.77,4184.7
Kepler-1126 b,2016,Transit,108.59,1.73,2073.5
Kepler-1914 b,2021,Transit,30.828,2.94,5288.8
HATS-43 b,2018,Transit,4.3888,13.23,1181.6
Kepler-685 b,2016,Transit,1.6255,10.58,3061.7
Kepler-1303 b,2016,Transit,7.5613,1.42,2928.2
Kepler-1016 b,2016,Transit,1.9545,2.18,4575.4
HIP 54373 c,2019,Radial Velocity,15.144,3.57,61.0
L 363-38 b,2023,Radial Velocity,8.781,2.0,33.4
HAT-P-46 b,2014,Transit,4.4631,14.39,948.3
K2-396 c,2022,Transit,25.761,3.12,896.5
TOI-1107 b,2022,Transit,4.0782,14.57,917.5
KOI-319 c,2014,Transit Timing Variations,80.099,11.9,2153.1
Kepler-1992 b,2023,Transit,15.611,0.91,1738.3
Kepler-134 b,2014,Transit,5.3174,2.0,1092.0
TOI-912 b,2025,Transit,4.6781,1.93,85.2
TOI-913 b,2023,Transit,11.099,2.45,212.6
TOI-1105 b,2026,Transit,10.868,3.06,259.4
Kepler-559 b,2016,Transit,17.588,3.61,2533.3
WASP-34 b,2010,Transit,4.3177,11.21,430.8
Kepler-1426 b,2016,Transit,14.256,1.56,5537.5
OGLE-2014-BLG-0676L b,2016,Microlensing,,13.1,6131.7
Kepler-156 b,2014,Transit,4.9735,2.3,1446.4
