channel,title,picked,auto_topics,minutes,url,views,video_id
3Blue1Brown,The last IMO problem AI could not solve,,AI & machine learning,51.9,https://www.youtube.com/watch?v=Nbwv5wHQoj0,,Nbwv5wHQoj0
3Blue1Brown,But what is cross-entropy? | Compression is Intelligence Part 2,yes,compression & error correction,33.9,https://www.youtube.com/watch?v=GlYgs6v2YfU,803000,GlYgs6v2YfU
3Blue1Brown,Reinventing Entropy | Compression is Intelligence Part 1,yes,compression & error correction; history,32.3,https://www.youtube.com/watch?v=l6DKRf-fAAM,1500000,l6DKRf-fAAM
3Blue1Brown,How (and why) to take a logarithm of an image,,colour & images; exponentials & logarithms,44.9,https://www.youtube.com/watch?v=ldxFjLJ3rVY,2100000,ldxFjLJ3rVY
3Blue1Brown,The most beautiful formula not enough people understand,,algebra & equations,60.4,https://www.youtube.com/watch?v=fsLh-NYhOoU,1400000,fsLh-NYhOoU
3Blue1Brown,"Why you can't comb a hairy ball, and why we care",,,29.7,https://www.youtube.com/watch?v=BHdbsHFs2P0,3400000,BHdbsHFs2P0
3Blue1Brown,Why Laplace transforms are so useful,,,23.1,https://www.youtube.com/watch?v=FE-hM1kRK4Y,823000,FE-hM1kRK4Y
3Blue1Brown,But what is a Laplace Transform?,,,34.7,https://www.youtube.com/watch?v=j0wJBEZdwLs,1900000,j0wJBEZdwLs
3Blue1Brown,The Physics of Euler's Formula | Laplace Transform Prelude,,algebra & equations; complex numbers,27.8,https://www.youtube.com/watch?v=-j8PzkZ70Lg,1100000,-j8PzkZ70Lg
3Blue1Brown,What was Euclid really doing? | Guest video by Ben Syversen,yes,,33.5,https://www.youtube.com/watch?v=M-MgQC6z3VU,,M-MgQC6z3VU
3Blue1Brown,Exploration & Epiphany | Guest video by Paul Dancstep,,,52.2,https://www.youtube.com/watch?v=_BrFKp-U8GI,512000,_BrFKp-U8GI
3Blue1Brown,Simulating and understanding phase change | Guest video by Vilas Winstein,,simulation,41.0,https://www.youtube.com/watch?v=itRV2jEtV8Q,,itRV2jEtV8Q
3Blue1Brown,The AI that solved IMO Geometry Problems | Guest video by @Aleph 0,,AI & machine learning; geometry,13.5,https://www.youtube.com/watch?v=4NlrfOl0l8U,,4NlrfOl0l8U
3Blue1Brown,But how do AI images and videos actually work? | Guest video by Welch Labs,yes,AI & machine learning; colour & images,37.3,https://www.youtube.com/watch?v=iv-5mZ_9CPY,,iv-5mZ_9CPY
3Blue1Brown,Where my explanation of Grover’s algorithm failed,,algorithms & complexity,16.4,https://www.youtube.com/watch?v=Dlsa9EBKDGI,684000,Dlsa9EBKDGI
3Blue1Brown,But what is quantum computing?  (Grover's Algorithm),,algorithms & complexity,36.9,https://www.youtube.com/watch?v=RQWpF2Gb-gU,4000000,RQWpF2Gb-gU
3Blue1Brown,Why colliding blocks compute pi,yes,trigonometry & waves,26.1,https://www.youtube.com/watch?v=6dTyOl1fmDo,6400000,6dTyOl1fmDo
3Blue1Brown,Terence Tao continuing history’s cleverest cosmological measurements,,history; logic,25.6,https://www.youtube.com/watch?v=hFMaT9oRbs4,1600000,hFMaT9oRbs4
3Blue1Brown,Terence Tao on the cosmic distance ladder,,how computers work,28.6,https://www.youtube.com/watch?v=YdOXS_9_P4U,6200000,YdOXS_9_P4U
3Blue1Brown,This open problem taught me what topology is,,geometry,27.4,https://www.youtube.com/watch?v=IQqtsm-bBRU,2500000,IQqtsm-bBRU
3Blue1Brown,Large Language Models explained briefly,yes,Markov chains & language models,8.0,https://www.youtube.com/watch?v=LPZh9BOjkQs,7700000,LPZh9BOjkQs
3Blue1Brown,Solving problems by adding a dimension,,algebra & equations; geometry,29.7,https://www.youtube.com/watch?v=piJkuavhV50,1700000,piJkuavhV50
3Blue1Brown,How I animate 3Blue1Brown | A Manim demo with Ben Sparks,yes,,53.7,https://www.youtube.com/watch?v=rbu7Zu5X1zI,3200000,rbu7Zu5X1zI
3Blue1Brown,How are holograms possible?,,,46.4,https://www.youtube.com/watch?v=EmKQsSDlaa4,7000000,EmKQsSDlaa4
3Blue1Brown,How might LLMs store facts | Deep Learning Chapter 7,,AI & machine learning,22.7,https://www.youtube.com/watch?v=9-Jl0dxWQs8,2200000,9-Jl0dxWQs8
3Blue1Brown,"What ""Follow Your Dreams"" Misses | Harvey Mudd Commencement Speech 2024",,,15.5,https://www.youtube.com/watch?v=W3I3kAg2J7w,1400000,W3I3kAg2J7w
3Blue1Brown,"Attention in transformers, step-by-step | Deep Learning Chapter 6",yes,AI & machine learning,26.2,https://www.youtube.com/watch?v=eMlx5fFNoYc,4600000,eMlx5fFNoYc
3Blue1Brown,"Transformers, the tech behind LLMs | Deep Learning Chapter 5",yes,AI & machine learning,27.2,https://www.youtube.com/watch?v=wjZofJX0v4M,11000000,wjZofJX0v4M
3Blue1Brown,Answering viewer questions about refraction,,,13.4,https://www.youtube.com/watch?v=Cz4Q4QOuoo8,1100000,Cz4Q4QOuoo8
3Blue1Brown,"But why would light ""slow down""? | Visualizing Feynman's lecture on the refractive index",,,28.6,https://www.youtube.com/watch?v=KTzGBJPuJwM,2800000,KTzGBJPuJwM
3Blue1Brown,25 Math explainers you may enjoy | SoME3 results,,,22.2,https://www.youtube.com/watch?v=6a1fLEToyvU,645000,6a1fLEToyvU
3Blue1Brown,How wiggling charges give rise to light,,,21.6,https://www.youtube.com/watch?v=aXRTczANuIs,1800000,aXRTczANuIs
3Blue1Brown,This tests your understanding of light | The barber pole effect,,,9.9,https://www.youtube.com/watch?v=QCX62YJCmGk,1400000,QCX62YJCmGk
3Blue1Brown,A pretty reason why Gaussian + Gaussian = Gaussian,,,13.3,https://www.youtube.com/watch?v=d_qvLDhkg00,955000,d_qvLDhkg00
3Blue1Brown,"This pattern breaks, but for a good reason | Moser's circle problem",yes,trigonometry & waves,16.2,https://www.youtube.com/watch?v=YtkIWDE36qU,2800000,YtkIWDE36qU
3Blue1Brown,How They Fool Ya (live) | Math parody of Hallelujah,,,4.0,https://www.youtube.com/watch?v=NOCsdhzo6Jg,1100000,NOCsdhzo6Jg
3Blue1Brown,Convolutions | Why X+Y in probability is a beautiful mess,,AI & machine learning; probability,27.4,https://www.youtube.com/watch?v=IaSGqQa5O-M,998000,IaSGqQa5O-M
3Blue1Brown,Why π is in the normal distribution (beyond integral tricks),,calculus; statistics & data; trigonometry & waves,24.8,https://www.youtube.com/watch?v=cy8r7WSuT1I,2200000,cy8r7WSuT1I
3Blue1Brown,But what is the Central Limit Theorem?,yes,calculus; statistics & data,31.2,https://www.youtube.com/watch?v=zeJD6dqJ5lo,4500000,zeJD6dqJ5lo
3Blue1Brown,But what is a convolution?,yes,AI & machine learning,23.0,https://www.youtube.com/watch?v=KuXjwB4LzSA,3700000,KuXjwB4LzSA
3Blue1Brown,Researchers thought this was a bug (Borwein integrals),,calculus; programming practice,17.4,https://www.youtube.com/watch?v=851U557j6HE,4600000,851U557j6HE
3Blue1Brown,What makes a great math explanation? | SoME2 results,,,17.0,https://www.youtube.com/watch?v=cDofhN-RJqg,767000,cDofhN-RJqg
3Blue1Brown,How to lie using visual proofs,yes,logic,18.8,https://www.youtube.com/watch?v=VYQVlVoWoPY,4200000,VYQVlVoWoPY
3Blue1Brown,Olympiad level counting  (Generating functions),,counting & combinatorics,34.6,https://www.youtube.com/watch?v=bOXCLR3Wric,2300000,bOXCLR3Wric
3Blue1Brown,"Oh, wait, actually the best Wordle opener is not “crane”…",yes,games & puzzles,10.9,https://www.youtube.com/watch?v=fRed0Xmc2Wg,6600000,fRed0Xmc2Wg
3Blue1Brown,Solving Wordle using information theory,yes,algebra & equations; compression & error correction; games & puzzles,30.6,https://www.youtube.com/watch?v=v68zYyaEmEA,11000000,v68zYyaEmEA
3Blue1Brown,A tale of two problem solvers | Average cube shadow area,,geometry; statistics & data,40.1,https://www.youtube.com/watch?v=ltLUadnCyi0,3500000,ltLUadnCyi0
3Blue1Brown,2021 Summer of Math Exposition results,,,12.7,https://www.youtube.com/watch?v=F3Qixy-r_rQ,800000,F3Qixy-r_rQ
3Blue1Brown,"Beyond the Mandelbrot set, an intro to holomorphic dynamics",,recursion & fractals; sets,27.6,https://www.youtube.com/watch?v=LqbZpur38nw,1700000,LqbZpur38nw
3Blue1Brown,Newton’s fractal (which Newton knew nothing about),yes,recursion & fractals,26.1,https://www.youtube.com/watch?v=-RdOwhmqP5s,3100000,-RdOwhmqP5s
3Blue1Brown,Make math videos! | Summer of Math Exposition announcement,,,24.4,https://www.youtube.com/watch?v=ojjzXyQCzso,739000,ojjzXyQCzso
3Blue1Brown,"A quick trick for computing eigenvalues | Chapter 15, Essence of linear algebra",,algebra & equations; matrices & vectors,13.2,https://www.youtube.com/watch?v=e50Bj7jn9IQ,1300000,e50Bj7jn9IQ
